"","id","date","pm25","pm10","o3","no2","so2","co"
"325",tianjin,"2019/8/21",102,38,NA,20,2,11
"326",tianjin,"2019/8/22",93,47,NA,25,3,8
"327",tianjin,"2019/8/23",74,42,NA,19,5,7
"328",tianjin,"2019/8/24",74,48,NA,16,5,10
"329",tianjin,"2019/8/25",92,45,NA,13,4,8
"330",tianjin,"2019/8/26",83,58,NA,13,3,9
"331",tianjin,"2019/8/27",141,43,NA,14,3,7
"332",tianjin,"2019/8/28",110,43,NA,12,4,5
"333",tianjin,"2019/8/29",47,22,NA,11,2,4
"334",tianjin,"2019/8/30",20,27,NA,13,7,4
"335",tianjin,"2019/8/31",37,45,NA,16,5,6
"336",tianjin,"2019/9/1",63,50,NA,17,8,9
"337",tianjin,"2019/9/2",80,60,NA,12,5,8
"338",tianjin,"2019/9/3",117,62,NA,16,6,9
"339",tianjin,"2019/9/4",136,48,NA,19,5,6
"340",tianjin,"2019/9/5",83,53,NA,17,5,5
"341",tianjin,"2019/9/6",93,69,NA,15,4,6
"342",tianjin,"2019/9/7",134,69,NA,13,4,7
"343",tianjin,"2019/9/8",148,69,NA,14,8,11
"344",tianjin,"2019/9/9",133,72,NA,17,5,9
"345",tianjin,"2019/9/10",145,38,NA,13,5,7
"346",tianjin,"2019/9/11",68,35,NA,18,7,8
"347",tianjin,"2019/9/12",51,41,NA,16,5,10
"348",tianjin,"2019/9/13",60,44,NA,9,2,5
"349",tianjin,"2019/9/14",88,46,NA,16,6,8
"350",tianjin,"2019/9/15",91,52,NA,15,6,7
"351",tianjin,"2019/9/16",101,40,NA,12,5,5
"352",tianjin,"2019/9/17",57,50,NA,18,4,5
"353",tianjin,"2019/9/18",64,45,NA,13,6,4
"354",tianjin,"2019/9/19",62,40,NA,19,5,5
"355",tianjin,"2019/9/20",47,71,NA,28,6,10
"356",tianjin,"2019/9/21",128,79,NA,25,6,11
"357",tianjin,"2019/9/22",157,64,NA,18,10,13
"358",tianjin,"2019/9/23",151,72,NA,21,5,9
"359",tianjin,"2019/9/24",143,61,NA,22,7,7
"360",tianjin,"2019/9/25",101,46,NA,24,4,6
"361",tianjin,"2019/9/26",62,54,NA,22,6,8
"362",tianjin,"2019/9/27",88,60,NA,14,3,9
"363",tianjin,"2019/9/28",121,68,NA,17,4,9
"364",tianjin,"2019/9/29",149,75,NA,18,6,7
"365",tianjin,"2019/9/30",133,66,NA,15,4,8
"366",tianjin,"2019/10/1",116,59,NA,12,4,7
"367",tianjin,"2019/4/2",66,48,NA,17,7,8
"368",tianjin,"2019/4/3",85,52,NA,19,5,6
"369",tianjin,"2019/4/4",96,113,NA,15,10,10
"370",tianjin,"2019/4/5",176,317,NA,14,4,6
"371",tianjin,"2019/4/6",96,77,NA,16,11,10
"372",tianjin,"2019/4/7",77,68,NA,25,7,8
"373",tianjin,"2019/4/8",78,48,NA,16,5,7
"374",tianjin,"2019/4/9",40,35,NA,12,4,7
"375",tianjin,"2019/4/10",49,36,NA,14,3,7
"376",tianjin,"2019/4/11",86,48,NA,14,8,7
"377",tianjin,"2019/4/12",132,56,NA,16,7,9
"378",tianjin,"2019/4/13",157,79,NA,22,8,14
"379",tianjin,"2019/4/14",194,54,NA,10,3,4
"380",tianjin,"2019/4/15",63,66,NA,13,8,7
"381",tianjin,"2019/4/16",113,67,NA,16,8,10
"382",tianjin,"2019/4/17",159,89,NA,15,8,11
"383",tianjin,"2019/4/18",158,165,NA,17,8,8
"384",tianjin,"2019/4/19",115,51,NA,17,5,5
"385",tianjin,"2019/4/20",48,55,NA,26,4,7
"386",tianjin,"2019/4/21",92,86,NA,25,8,11
"387",tianjin,"2019/4/22",140,77,NA,20,5,9
"388",tianjin,"2019/4/23",164,61,NA,17,4,10
"389",tianjin,"2019/4/24",163,52,NA,14,7,6
"390",tianjin,"2019/4/25",71,24,NA,8,3,4
"391",tianjin,"2019/4/26",49,36,NA,9,3,4
"392",tianjin,"2019/4/27",88,40,NA,17,4,7
